question_id,stem,answer,students,mean_score,thumbs_down,reject_thumbs_down,reject_mean_score,reject,answer_stem,answer_stem_correct,paragraph,answer_paragraph,answer_paragraph_correct
27c7e28f0678ec6a1aacb0e4860b480961f0e72d65e1a5bdfb368b4b1a4d9a6c,"Chemists usually perform experiments under normal atmospheric conditions, at ________ external pressure with q = ΔH, which makes enthalpy the most convenient choice for determining heat changes for chemical reactions.",constant,88,0.3295454545454545,3,True,True,True,constant,True,"The heat given off when you operate a Bunsen burner is equal to the enthalpy change of the methane combustion reaction that takes place, since it occurs at the essentially constant pressure of the atmosphere. On the other hand, the heat produced by a reaction measured in a bomb calorimeter (Figure 9.17) is not equal to ΔH because the closed, constant-volume metal container prevents the pressure from remaining constant (it may increase or decrease if the reaction yields increased or decreased amounts of gaseous species). Chemists usually perform experiments under normal atmospheric conditions, at ________ external pressure with q = ΔH, which makes enthalpy the most convenient choice for determining heat changes for chemical reactions.",constant,True
e5d7596ad237b4a80be9b62b3855d3b49d811de08858c0ca15bc88b71a4d9a6c,Chemists ordinarily use a property known as enthalpy (H) to describe the ________ of chemical and physical processes.,thermodynamics,89,0.0786516853932584,3,True,True,True,energy,False,Chemists ordinarily use a property known as enthalpy (H) to describe the ________ of chemical and physical processes. Enthalpy is defined as the sum of a system's internal energy (U) and the mathematical product of its pressure (P) and volume (V):,energy,False
ef4e7e437722682521d9e5498a3559211dfa5ad8e114bb9ef2bfc2f31a4d9a6c,"The large scale separation of ________ 235UF6 from 238UF6 was first done during the World War II, at the atomic energy installation in Oak Ridge, Tennessee, as part of the Manhattan Project (the development of the first atomic bomb).",gaseous,91,0.0879120879120879,3,True,True,True,isotope,False,"The large scale separation of ________ 235UF6 from 238UF6 was first done during the World War II, at the atomic energy installation in Oak Ridge, Tennessee, as part of the Manhattan Project (the development of the first atomic bomb). Although the theory is simple, this required surmounting many daunting technical challenges to make it work in practice. The barrier must have tiny, uniform holes (about 10–6 cm in diameter) and be porous enough to produce high flow rates. All materials (the barrier, tubing, surface coatings, lubricants, and gaskets) need to be able to contain, but not react with, the highly reactive and corrosive UF6.",isotope,False
e005a4275d74dd562fc9d7222cafaeb785952fe392a598a233831dc71a4d9a6c,The following guidelines are used to assign ________ numbers to each element in a molecule or ion.,oxidation,95,0.3052631578947368,1,False,True,True,oxidation,True,"The product of this reaction is a covalent compound, so transfer of electrons in the explicit sense is not involved. To clarify the similarity of this reaction to the previous one and permit an unambiguous definition of redox reactions, a property called oxidation number has been defined. The oxidation number (or oxidation state) of an element in a compound is the charge its atoms would possess if the compound were ionic. The following guidelines are used to assign ________ numbers to each element in a molecule or ion.",oxidation,True
1e9f9264c12535f9155c06000e9b3324e063d6cb07e24a04eddba3121a4d9a6c,"For a(n) ________ molecule, the atomic orbitals of one atom are shown on the left, and those of the other atom are shown on the right.",diatomic,96,0.3333333333333333,1,False,True,True,diatomic,True,"The relative energy levels of atomic and molecular orbitals are typically shown in a molecular orbital diagram (Figure 5.34). For a(n) ________ molecule, the atomic orbitals of one atom are shown on the left, and those of the other atom are shown on the right. Each horizontal line represents one orbital that can hold two electrons. The molecular orbitals formed by the combination of the atomic orbitals are shown in the center. Dashed lines show which of the atomic orbitals combine to form the molecular orbitals. For each pair of atomic orbitals that combine, one lower-energy (bonding) molecular orbital and one higher-energy (antibonding) orbital result. Thus we can see that combining the six 2p atomic orbitals results in three bonding orbitals (one σ and two π) and three antibonding orbitals (one σ* and two π*).",diatomic,True
7e5ded7bd77e65cfccb53f6568699a4be9f5157c01fcf7347164068c1a4d9a6c,"Gases consisting of heavier molecules have more low-speed ________, a lower urms, and a speed distribution that peaks at relatively lower speeds.",particles,97,0.2989690721649484,0,False,True,True,particles,True,"At a given temperature, all gases have the same KEavg for their molecules. Gases composed of lighter molecules have more high-speed particles and a higher urms, with a speed distribution that peaks at relatively higher speeds. Gases consisting of heavier molecules have more low-speed ________, a lower urms, and a speed distribution that peaks at relatively lower speeds. This trend is demonstrated by the data for a series of noble gases shown in Figure 8.34.",particles,True
2951446f9ba716169c44ad13d2ac573e74ab3a1b6ec1caac36c2c9bc1a4d9a6c,The order of a(n) ________ bond is a guide to its strength; a bond between two given atoms becomes stronger as the bond order increases.,covalent,98,0.3673469387755102,2,True,False,True,Chemical,False,"The order of a(n) ________ bond is a guide to its strength; a bond between two given atoms becomes stronger as the bond order increases. If the distribution of electrons in the molecular orbitals between two atoms is such that the resulting bond would have a bond order of zero, a stable bond does not form. We next look at some specific examples of MO diagrams and bond orders.",Molecular,False
b45ced49e817fb63ad6808e0bcb2d344f517462d15ba1598dc7eb8b11a4d9a6c,"A different type of calorimeter that operates at constant volume, colloquially known as a bomb calorimeter, is used to measure the energy produced by reactions that yield large amounts of heat and gaseous products, such as ________ reactions.",combustion,100,0.43,0,False,False,False,combustion,True,"The calorimeters described are designed to operate at constant (atmospheric) pressure and are convenient to measure heat flow accompanying processes that occur in solution. A different type of calorimeter that operates at constant volume, colloquially known as a bomb calorimeter, is used to measure the energy produced by reactions that yield large amounts of heat and gaseous products, such as ________ reactions. (The term ""bomb"" comes from the observation that these reactions can be vigorous enough to resemble explosions that would damage other calorimeters.) This type of calorimeter consists of a robust steel container (the ""bomb"") that contains the reactants and is itself submerged in water (Figure 9.17). The sample is placed in the bomb, which is then filled with oxygen at high pressure. A small electrical spark is used to ignite the sample. The energy produced by the reaction is absorbed by the steel bomb and the surrounding water. The temperature increase is measured and, along with the known heat capacity of the calorimeter, is used to calculate the energy produced by the reaction. Bomb calorimeters require calibration to determine the heat capacity of the calorimeter and ensure accurate results. The calibration is accomplished using a reaction with a known q, such as a measured quantity of benzoic acid ignited by a spark from a nickel fuse wire that is weighed before and after the reaction. The temperature change produced by the known reaction is used to determine the heat capacity of the calorimeter. The calibration is generally performed each time before the calorimeter is used to gather research data.",combustion,True
0de15a60a933aa6fd3db6a0bccbc5f3e458426c856e376d2101c14961a4d9a6c,"When a(n) ________ reaction occurs in solution in a calorimeter, the heat produced by the reaction is absorbed by the solution, which increases its temperature.",exothermic,101,0.2475247524752475,1,False,True,True,exothermic,True,"A calorimeter is a device used to measure the amount of heat involved in a chemical or physical process. For example, when a(n) ________ reaction occurs in solution in a calorimeter, the heat produced by the reaction is absorbed by the solution, which increases its temperature. When an endothermic reaction occurs, the heat required is absorbed from the thermal energy of the solution, which decreases its temperature (Figure 9.11). The temperature change, along with the specific heat and mass of the solution, can then be used to calculate the amount of heat involved in either case.",exothermic,True
9fbeeb214bdd4deb9fd9caa5266ecd4dfb4b1ad2fbbc25d59a050c721a4d9a6c,"The unhybridized 2p orbitals overlap in a side-by-side fashion, above and below the internuclear ________ (Figure 5.23) and form a π bond.",axis,104,0.3269230769230769,1,False,True,True,axis,True,"The three bonding regions form a trigonal planar electron-pair geometry. Thus we expect the σ bonds from each carbon atom are formed using a set of sp2 hybrid orbitals that result from hybridization of two of the 2p orbitals and the 2s orbital (Figure 5.22). These orbitals form the C–H single bonds and the σ bond in the C=C double bond (Figure 5.23). The π bond in the C=C double bond results from the overlap of the third (remaining) 2p orbital on each carbon atom that is not involved in hybridization. This unhybridized p orbital (lobes shown in red and blue in Figure 5.23) is perpendicular to the plane of the sp2 hybrid orbitals. Thus the unhybridized 2p orbitals overlap in a side-by-side fashion, above and below the internuclear ________ (Figure 5.23) and form a π bond.",axis,True
