student	question	course_page_number	unit_page_number	module_page_number	page_question_number	question_type	answered	correct
601462c215f61a3e662fbdc6	5fd9b59b807e2b681e2baf44	4	2	1	0	HA_MC	1	1
601462c215f61a3e662fbdc6	5fd9b59b807e2b681e2baf82	4	2	1	1	AG_FITB	1	1
601462c215f61a3e662fbdc6	5fd9b59b807e2b681e2bafa4	4	2	1	2	AG_FITB	1	1
601462c215f61a3e662fbdc6	5fd9b59b807e2b681e2bafc6	4	2	1	3	AG_FITB	1	1
601462c215f61a3e662fbdc6	5fd9b59b807e2b681e2bafec	4	2	1	4	AG_Matching	1	1
601462c215f61a3e662fbdc6	5fd9b59b807e2b681e2bb000	4	2	1	5	AG_Matching	1	1
601462c215f61a3e662fbdc6	5fd9b59b807e2b681e2bb014	4	2	1	6	AG_Matching	1	1
601462c215f61a3e662fbdc6	5fd9b59b807e2b681e2bb03a	4	2	1	7	AG_FITB	1	1
601462c215f61a3e662fbdc6	5fd9b59b807e2b681e2bb05c	4	2	1	8	AG_FITB	1	1
601462c215f61a3e662fbdc6	5fd9b59b807e2b681e2bb07e	4	2	1	9	AG_FITB	1	1
601462c215f61a3e662fbdc6	5fd9b59b807e2b681e2bb0aa	4	2	1	10	HA_MC	1	0
601462c215f61a3e662fbdc6	5fd9b59b807e2b681e2bb0de	4	2	1	11	HA_MC	1	1
601462c215f61a3e662fbdc6	5fd9b59b807e2b681e2bb112	4	2	1	12	HA_MC	1	1
601462c215f61a3e662fbdc6	5fd9b59c807e2b681e2bb146	4	2	1	13	HA_MC	1	1
601462c215f61a3e662fbdc6	5fd9b59c807e2b681e2bb16e	4	2	1	14	HA_FITB	1	1
601462c215f61a3e662fbdc6	5fd9b59c807e2b681e2bb1ae	4	2	1	15	HA_MCMS	1	1
601462c215f61a3e662fbdc6	5fd9b59c807e2b681e2bb200	4	2	1	16	HA_MC	1	1
601462c215f61a3e662fbdc6	5fd9b59c807e2b681e2bb234	4	2	1	17	HA_MC	1	1
601462c215f61a3e662fbdc6	5fd9b59c807e2b681e2bb268	4	2	1	18	HA_MC	1	1
601462c215f61a3e662fbdc6	5fd9b59c807e2b681e2bb2a2	4	2	1	19	HA_Pulldown	1	1
601462c215f61a3e662fbdc6	5fd9b59c807e2b681e2bb2e0	4	2	1	20	HA_MC	1	1
6019ed340000095f02fea341	5fd9b56b807e2b681e2b180d	31	29	4	0	AG_FITB	1	1
6019ed340000095f02fea341	5fd9b56b807e2b681e2b1833	31	29	4	1	AG_Matching	1	1
6019ed340000095f02fea341	5fd9b56b807e2b681e2b1843	31	29	4	2	AG_Matching	1	1
6019ed340000095f02fea341	5fd9b56b807e2b681e2b1853	31	29	4	3	AG_Matching	1	1
6019ed340000095f02fea341	5fd9b56b807e2b681e2b1875	31	29	4	4	AG_FITB	1	1
6019ed340000095f02fea341	5fd9b56b807e2b681e2b1897	31	29	4	5	AG_FITB	1	1
6019ed340000095f02fea341	5fd9b56b807e2b681e2b18b9	31	29	4	6	AG_FITB	1	1
6019ed340000095f02fea341	5fd9b56b807e2b681e2b18db	31	29	4	7	AG_FITB	1	1
6019ed340000095f02fea341	5fd9b56b807e2b681e2b1901	31	29	4	8	AG_Matching	1	0
6019ed340000095f02fea341	5fd9b56b807e2b681e2b1911	31	29	4	9	AG_Matching	1	0
6019ed340000095f02fea341	5fd9b56b807e2b681e2b1921	31	29	4	10	AG_Matching	1	1
6019ed340000095f02fea341	5fd9b56b807e2b681e2b194d	31	29	4	11	HA_MC	1	1
6019ed340000095f02fea341	5fd9b56b807e2b681e2b1981	31	29	4	12	HA_MC	1	1
6019ed340000095f02fea341	5fd9b56b807e2b681e2b19c1	31	29	4	13	HA_MC	1	1
6019ed340000095f02fea341	5fd9b56c807e2b681e2b1a09	31	29	4	14	HA_MC	1	1
6019ed340000095f02fea341	5fd9b56c807e2b681e2b1a49	31	29	4	15	HA_MC	1	1
6019ed340000095f02fea341	5fd9b56c807e2b681e2b1a91	31	29	4	16	HA_MC	1	1
6019ed340000095f02fea341	5fd9b56c807e2b681e2b1ac5	31	29	4	17	HA_MC	1	1
6019ed340000095f02fea341	5fd9b56c807e2b681e2b1af9	31	29	4	18	HA_MC	1	1
6019ed340000095f02fea341	5fd9b56c807e2b681e2b1b2d	31	29	4	19	HA_Pulldown	1	1
6019ed340000095f02fea341	5fd9b56c807e2b681e2b1b61	31	29	4	20	HA_MC	1	1
6019ed340000095f02fea341	5fd9b56c807e2b681e2b1b9b	31	29	4	21	HA_Pulldown	1	1
6019ed340000095f02fea341	5fd9b568807e2b681e2b1012	82	80	1	0	HA_FITB	1	1
6019ed340000095f02fea341	5fd9b568807e2b681e2b1046	82	80	1	1	HA_MC	1	1
6019ed340000095f02fea341	5fd9b568807e2b681e2b107a	82	80	1	2	HA_MC	1	1
6019ed340000095f02fea341	5fd9b569807e2b681e2b10a5	82	80	1	3	HA_FITB	1	1
6019ed340000095f02fea341	5fd9b569807e2b681e2b10c3	82	80	1	4	HA_FITB	1	1
