student	question	course_page_number	unit_page_number	module_page_number	page_question_number	question_type	answered	correct
5e13661d7ff4804465ff665f	5dfa6a63807e2b60b3828c3a	63	9	8	0	AG_FITB	1	1
5e13661d7ff4804465ff665f	5dfa6a63807e2b60b3828c5c	63	9	8	1	AG_FITB	1	0
5e13661d7ff4804465ff665f	5dfa6a63807e2b60b3828c7e	63	9	8	2	AG_FITB	1	1
5e13661d7ff4804465ff665f	5dfa6a68807e2b60b3829a25	63	9	8	3	HA_MC	1	1
5e13661d7ff4804465ff665f	5dfa6a63807e2b60b3828ca8	33	6	5	0	AG_FITB	1	0
5e13661d7ff4804465ff665f	5dfa6a63807e2b60b3828cd2	93	11	10	0	AG_FITB	1	0
5e13661d7ff4804465ff665f	5dfa6a63807e2b60b3828cfc	91	9	8	0	AG_FITB	1	1
5e13661d7ff4804465ff665f	5dfa6a63807e2b60b3828d1e	91	9	8	1	AG_FITB	1	1
5e13661d7ff4804465ff665f	5dfa6a63807e2b60b3828d40	91	9	8	2	AG_FITB	1	1
5e13661d7ff4804465ff665f	5dfa6a64807e2b60b3828dc0	71	17	3	0	AG_FITB	1	0
5e13661d7ff4804465ff665f	5dfa6a64807e2b60b3828de2	71	17	3	1	AG_FITB	1	1
5e13661d7ff4804465ff665f	5dfa6a64807e2b60b3828e08	71	17	3	2	AG_Matching	1	1
5e13661d7ff4804465ff665f	5dfa6a64807e2b60b3828e18	71	17	3	3	AG_Matching	1	1
5e13661d7ff4804465ff665f	5dfa6a64807e2b60b3828e28	71	17	3	4	AG_Matching	1	1
5e13661d7ff4804465ff665f	5dfa6a64807e2b60b3828e4a	71	17	3	5	AG_FITB	1	1
5e13661d7ff4804465ff665f	5dfa6a64807e2b60b3828ed8	85	3	2	0	AG_FITB	1	0
5e13661d7ff4804465ff665f	5dfa6a64807e2b60b3828efe	85	3	2	1	AG_Matching	1	1
5e13661d7ff4804465ff665f	5dfa6a64807e2b60b3828f0e	85	3	2	2	AG_Matching	1	1
