student	question	course_page_number	unit_page_number	module_page_number	page_question_number	question_type	answered
5e1c5c0e7ff480719b920b1d	5e01b7db807e2b706c8257de	17	15	2	6	HA_MCMS	1
5e1c5c0e7ff480719b920b1d	5e01b7f3807e2b706c829bae	17	15	2	0	AG_FITB	1
5e1c5c0e7ff480719b920b1d	5e01b7f3807e2b706c829bd2	17	15	2	1	AG_FITB	1
5e1c5c0e7ff480719b920b1d	5e01b7f3807e2b706c829bf6	17	15	2	2	AG_FITB	1
5e1c5c0e7ff480719b920b1d	5e01b7f3807e2b706c829c1e	17	15	2	3	AG_Matching	1
5e1c5c0e7ff480719b920b1d	5e01b7f3807e2b706c829c2e	17	15	2	4	AG_Matching	1
5e1c5c0e7ff480719b920b1d	5e01b7f3807e2b706c829c3e	17	15	2	5	AG_Matching	1
5e1c5c0e7ff480719b920b1d	5e01b81f807e2b706c8316e9	17	15	2	7	HA_SelfReport	1
5e1c5c0e7ff480719b920b1d	5e01b7f4807e2b706c829dc2	5	3	2	0	AG_FITB	1
5e1c5c0e7ff480719b920b1d	5e01b7f4807e2b706c829de8	5	3	2	1	AG_FITB	1
5e1c5c0e7ff480719b920b1d	5e01b7f4807e2b706c829e0c	5	3	2	2	AG_FITB	1
5e1c5c0e7ff480719b920b1d	5e01b7f4807e2b706c829e34	5	3	2	3	AG_FITB	1
5e1c5c0e7ff480719b920b1d	5e01b7f4807e2b706c829ea5	5	3	2	4	HA_MC_Grid	1
5e1c5c0e7ff480719b920b1d	5e01b7f4807e2b706c829eb9	5	3	2	5	HA_MC_Grid	1
5e1c5c0e7ff480719b920b1d	5e01b7f4807e2b706c829ecd	5	3	2	6	HA_MC_Grid	1
5e1c5c0e7ff480719b920b1d	5e01b7f4807e2b706c829ee1	5	3	2	7	HA_MC_Grid	1
5e1c5c0e7ff480719b920b1d	5e01b7f4807e2b706c829ef5	5	3	2	8	HA_MC_Grid	1
5e1c5c0e7ff480719b920b1d	5e01b7f4807e2b706c829f09	5	3	2	9	HA_MC_Grid	1
5e1c5c0e7ff480719b920b1d	5e01b808807e2b706c82d6a7	31	29	2	3	HA_MC	1
5e1c5c0e7ff480719b920b1d	5e01b808807e2b706c82d6f5	31	29	2	4	HA_MC	1
5e1c5c0e7ff480719b920b1d	5e01b7f4807e2b706c82a054	31	29	2	0	AG_FITB	1
5e1c5c0e7ff480719b920b1d	5e01b7f5807e2b706c82a078	31	29	2	1	AG_FITB	1
5e1c5c0e7ff480719b920b1d	5e01b7f5807e2b706c82a09c	31	29	2	2	AG_FITB	1
