student	question	course_page_number	unit_page_number	module_page_number	page_question_number	question_type	answered	correct	persisted
5f72259de16a3a5e5201ddac	5f2a5ac9807e2b059849e76b	9	7	6	2	AG_FITB	1	0	1
5f72259de16a3a5e5201ddac	5f2a5af0807e2b05984a5bdb	9	7	6	4	HA_MC	1	0	1
5f72259de16a3a5e5201ddac	5f2a5af1807e2b05984a5c2f	9	7	6	5	HA_Pulldown	1	0	1
5f72259de16a3a5e5201ddac	5f2a5af1807e2b05984a5cce	9	7	6	8	HA_MC_Grid	1	0	1
5f72259de16a3a5e5201ddac	5f2a5aef807e2b05984a5820	4	2	1	4	HA_Pulldown	1	0	1
5f72259de16a3a5e5201ddac	5f2a5aef807e2b05984a58c8	4	2	1	6	HA_Pulldown	1	0	1
5f72259de16a3a5e5201ddac	5f2a5af0807e2b05984a59d7	4	2	1	10	HA_DnD_Table	1	0	1
5f72259de16a3a5e5201ddac	5f2a5b14807e2b05984ac5ee	6	4	3	0	AG_FITB	1	0	1
5f72259de16a3a5e5201ddac	5f2a5b14807e2b05984ac632	6	4	3	2	AG_FITB	1	0	1
5f72259de16a3a5e5201ddac	5f2a5b14807e2b05984ac652	6	4	3	3	AG_FITB	1	0	1
5f72259de16a3a5e5201ddac	5f2a5adb807e2b05984a1b6e	6	4	3	10	HA_MC_Grid	1	0	1
5f72259de16a3a5e5201ddac	5f8551dd807e2b3c670bcf25	7	5	4	2	AG_FITB	1	0	1
5f72259de16a3a5e5201ddac	5f8551dc807e2b3c670bce15	7	5	4	7	HA_FITB	1	0	1
5f72259de16a3a5e5201ddac	5f8551dc807e2b3c670bce9b	7	5	4	10	HA_MC_Grid	1	0	1
5f72259de16a3a5e5201ddac	5f2a5b13807e2b05984ac0ba	17	15	4	2	AG_FITB	1	0	1
5f72259de16a3a5e5201ddac	5f2a5b12807e2b05984abeea	16	14	3	2	AG_FITB	1	0	1
5f72259de16a3a5e5201ddac	5f2a5ad7807e2b05984a10d8	8	6	5	0	AG_FITB	1	0	1
5f72259de16a3a5e5201ddac	5f2a5ad1807e2b059849fe17	8	6	5	7	HA_Pulldown	1	0	1
5f72259de16a3a5e5201ddac	5f2a5ad1807e2b059849ff62	8	6	5	11	HA_DnD_Table	1	0	0
5f72259de16a3a5e5201ddac	5f2a5b0d807e2b05984aaf8b	25	23	0	4	AG_FITB	1	0	0
5f72259de16a3a5e5201ddac	5f2a5ac5807e2b059849dd47	3	1	0	5	HA_Pulldown	1	0	1
5f72259de16a3a5e5201ddac	5f2a5ac6807e2b059849de56	3	1	0	9	HA_DnD_Table	1	0	1
5f72259de16a3a5e5201ddac	5f2a5b17807e2b05984aceaf	3	1	0	3	AG_FITB	1	0	1
5f72259de16a3a5e5201ddac	5f2a5ae4807e2b05984a3769	27	25	2	0	AG_Matching	1	0	1
5f72259de16a3a5e5201ddac	5f2a5ae4807e2b05984a377d	27	25	2	1	AG_Matching	1	0	1
5f72259de16a3a5e5201ddac	5f2a5ae4807e2b05984a3791	27	25	2	2	AG_Matching	1	0	1
5f72259de16a3a5e5201ddac	5f2a5ae4807e2b05984a3809	27	25	2	6	AG_FITB	1	0	1
5f789dc000b3a470255d2fa6	5f2a5b04807e2b05984a94d6	137	11	0	15	HA_DnD_Table	1	0	0
5f72238c1e99fb564c4b8bba	5f2a5b12807e2b05984ac012	13	11	0	2	AG_Matching	1	0	1
5f72238c1e99fb564c4b8bba	5f2a5b12807e2b05984ac026	13	11	0	3	AG_Matching	1	0	1
5f72238c1e99fb564c4b8bba	5f2a5b17807e2b05984acf01	4	2	1	0	AG_FITB	1	0	1
5f72238c1e99fb564c4b8bba	5f2a5b18807e2b05984acf67	4	2	1	3	AG_FITB	1	0	1
5f72238c1e99fb564c4b8bba	5f2a5aef807e2b05984a5874	4	2	1	5	HA_Pulldown	1	0	1
5f72238c1e99fb564c4b8bba	5f2a5aef807e2b05984a58c8	4	2	1	6	HA_Pulldown	1	0	1
5f72238c1e99fb564c4b8bba	5f2a5af0807e2b05984a59d7	4	2	1	10	HA_DnD_Table	1	0	1
5f72238c1e99fb564c4b8bba	5f2a5b14807e2b05984ac5ee	6	4	3	0	AG_FITB	1	0	1
5f72238c1e99fb564c4b8bba	5f2a5b14807e2b05984ac632	6	4	3	2	AG_FITB	1	0	1
5f72238c1e99fb564c4b8bba	5f2a5ac6807e2b059849de26	3	1	0	7	HA_DnD_Table	1	0	1
5f72238c1e99fb564c4b8bba	5f2a5ac6807e2b059849de3e	3	1	0	8	HA_DnD_Table	1	0	1
5f72238c1e99fb564c4b8bba	5f2a5ac6807e2b059849de56	3	1	0	9	HA_DnD_Table	1	0	1
5f72238c1e99fb564c4b8bba	5f2a5b17807e2b05984ace47	3	1	0	0	AG_FITB	1	0	1
5f72238c1e99fb564c4b8bba	5f2a5b17807e2b05984ace67	3	1	0	1	AG_FITB	1	0	1
5f723f3de16a3a42844361fe	5f2a5b09807e2b05984aa4fa	141	15	4	1	AG_FITB	1	0	1
5f723f3de16a3a42844361fe	5f2a5b09807e2b05984aa51a	141	15	4	2	AG_FITB	1	0	0
5f723f3de16a3a42844361fe	5f2a5b09807e2b05984aa562	141	15	4	4	AG_FITB	1	0	1
5f723f3de16a3a42844361fe	5f2a5b09807e2b05984aa586	141	15	4	5	AG_FITB	1	0	1
5f723f3de16a3a42844361fe	5f2a5b0b807e2b05984aa9e5	141	15	4	10	HA_FITB	1	0	1
5f723f3de16a3a42844361fe	5f2a5adb807e2b05984a1be4	18	16	5	2	AG_FITB	1	0	1
5f723f3de16a3a42844361fe	5f2a5ae6807e2b05984a3e91	18	16	5	6	HA_Pulldown	1	0	1
5f723f3de16a3a42844361fe	5f2a5b13807e2b05984ac152	61	5	4	10	HA_Pulldown	1	0	1
5f723f3de16a3a42844361fe	5f2a5b13807e2b05984ac319	61	5	4	16	HA_DnD_Table	1	0	1
5f723f3de16a3a42844361fe	5f2a5b0f807e2b05984ab5f4	61	5	4	4	AG_FITB	1	0	1
5f723f3de16a3a42844361fe	5f2a5b0f807e2b05984ab61a	61	5	4	5	AG_FITB	1	0	1
5f723f3de16a3a42844361fe	5f2a5b0f807e2b05984ab52e	140	14	3	2	AG_FITB	1	0	1
5f723f3de16a3a42844361fe	5f2a5b0f807e2b05984ab552	140	14	3	3	AG_FITB	1	0	1
5f723f3de16a3a42844361fe	5f2a5ac8807e2b059849e445	48	46	4	9	HA_MC	1	0	1
5f723f3de16a3a42844361fe	5f2a5acd807e2b059849f322	133	7	6	5	HA_MC	1	0	1
5f723f3de16a3a42844361fe	5f2a5acd807e2b059849f428	133	7	6	9	HA_FITB	1	0	1
5f723f3de16a3a42844361fe	5f2a5b11807e2b05984abb24	133	7	6	1	AG_FITB	1	0	1
