student	question	course_page_number	unit_page_number	module_page_number	page_question_number	question_type	answered	correct	persisted
5f48174400b3a42fe2c6e6a5	5f2e4e5de3a4d9432b135e77	18	16	5	1	AG_FITB	1	0	1
5f48174400b3a42fe2c6e6a5	5f2e4e5de3a4d9432b135f91	18	16	5	12	AG_Matching	1	0	1
5f48174400b3a42fe2c6e6a5	5f2e4e5de3a4d9432b135fa1	18	16	5	13	AG_Matching	1	0	1
5f48174400b3a42fe2c6e6a5	5f2e4e5de3a4d9432b135fd3	18	16	5	15	AG_FITB	1	0	1
5f48174400b3a42fe2c6e6a5	5f2e4e2ee3a4d9432b12f574	15	13	2	8	HA_MC	1	0	1
5f48174400b3a42fe2c6e6a5	5f2e4e2ee3a4d9432b12f610	15	13	2	10	HA_MC	1	0	1
5f48174400b3a42fe2c6e6a5	5f2e4e2ee3a4d9432b12f65e	15	13	2	11	HA_MC	1	0	1
5f48174400b3a42fe2c6e6a5	5f2e4e2ee3a4d9432b12f6ac	15	13	2	12	HA_MC	1	0	1
5f48174400b3a42fe2c6e6a5	5f2e4e2fe3a4d9432b12f7c4	15	13	2	16	HA_MC	1	0	1
5f48174400b3a42fe2c6e6a5	5f2e4e77e3a4d9432b139942	30	28	8	1	HA_MC	1	0	1
5f48174400b3a42fe2c6e6a5	5f2e4e77e3a4d9432b1399a4	30	28	8	3	HA_MCMS	1	0	1
5f48174400b3a42fe2c6e6a5	5f2e4e78e3a4d9432b139ad6	30	28	8	8	HA_MC	1	0	1
5f48174400b3a42fe2c6e6a5	5f2e4e60e3a4d9432b13650b	30	28	8	0	AG_FITB	1	0	1
5f48174400b3a42fe2c6e6a5	5f2e4e55e3a4d9432b134c1f	26	24	4	4	AG_FITB	1	0	1
5f48174400b3a42fe2c6e6a5	5f2e4e6fe3a4d9432b13870c	26	24	4	5	HA_MC	1	0	1
5f48174400b3a42fe2c6e6a5	5f2e4e70e3a4d9432b138876	26	24	4	10	HA_Pulldown	1	0	1
5f48174400b3a42fe2c6e6a5	5f2e4e70e3a4d9432b138974	26	24	4	15	HA_MC	1	0	1
5f48174400b3a42fe2c6e6a5	5f2e4e60e3a4d9432b136545	97	95	6	8	HA_MC	1	0	1
5f48174400b3a42fe2c6e6a5	5f2e4e54e3a4d9432b134af5	97	95	6	1	AG_FITB	1	0	1
5f48174400b3a42fe2c6e6a5	5f2e4e54e3a4d9432b13491d	37	35	3	2	AG_FITB	1	0	1
5f48174400b3a42fe2c6e6a5	5f2e4e54e3a4d9432b134985	37	35	3	6	AG_FITB	1	0	1
5f48174400b3a42fe2c6e6a5	5f2e4e54e3a4d9432b1349a7	37	35	3	7	AG_FITB	1	0	1
5f48174400b3a42fe2c6e6a5	5f2e4e53e3a4d9432b134823	94	92	3	6	AG_FITB	1	0	1
5f48174400b3a42fe2c6e6a5	5f2e4e53e3a4d9432b1346bf	62	60	4	3	AG_FITB	1	0	1
5f48174400b3a42fe2c6e6a5	5f2e4ea4e3a4d9432b13fca7	61	59	3	7	HA_MC	1	0	1
5f48174400b3a42fe2c6e6a5	5f2e4ea4e3a4d9432b13fcf5	61	59	3	8	HA_MC	1	0	1
5f48174400b3a42fe2c6e6a5	5f2e4ea4e3a4d9432b13fd43	61	59	3	9	HA_MC	1	0	1
5f48174400b3a42fe2c6e6a5	5f2e4e6de3a4d9432b138290	52	50	4	7	AG_Matching	1	0	1
5f48174400b3a42fe2c6e6a5	5f2e4e6de3a4d9432b1382a0	52	50	4	8	AG_Matching	1	0	1
5f48174400b3a42fe2c6e6a5	5f2e4ea0e3a4d9432b13f311	66	64	2	3	HA_MC	1	0	1
5f48174400b3a42fe2c6e6a5	5f2e4e6ee3a4d9432b1385bc	88	86	5	1	AG_FITB	1	0	1
5f48174400b3a42fe2c6e6a5	5f2e4e3ee3a4d9432b131840	78	76	6	4	HA_MCMS	1	0	1
5f48174400b3a42fe2c6e6a5	5f2e4e3ee3a4d9432b131938	78	76	6	8	HA_MC	1	0	1
5f48174400b3a42fe2c6e6a5	5f2e4e64e3a4d9432b136d89	19	17	6	3	AG_FITB	1	0	1
5f48174400b3a42fe2c6e6a5	5f2e4e64e3a4d9432b136dab	19	17	6	4	AG_FITB	1	0	1
5f48174400b3a42fe2c6e6a5	5f2e4e7ae3a4d9432b139fdc	35	33	1	2	HA_MC	1	0	1
5f48174400b3a42fe2c6e6a5	5f2e4e7ae3a4d9432b13a016	35	33	1	3	HA_MC	1	0	1
5f48174400b3a42fe2c6e6a5	5f3cce43807e2b6ad4d2ab42	60	58	2	0	HA_Pulldown	1	0	1
5f48174400b3a42fe2c6e6a5	5f3cce43807e2b6ad4d2ac00	60	58	2	3	HA_MC	1	0	1
5f48174400b3a42fe2c6e6a5	5f3cce43807e2b6ad4d2ac4e	60	58	2	4	HA_MC	1	0	1
5f48174400b3a42fe2c6e6a5	5f3cce43807e2b6ad4d2ac9c	60	58	2	5	HA_MC	1	0	1
