student	question	course_page_number	unit_page_number	module_page_number	page_question_number	question_type	answered	correct	persisted
600b29e71e99fb7d9decf12b	5fc5eacf807e2b24830a2113	104	102	1	6	HA_FITB	1	0	1
600b29e71e99fb7d9decf12b	5fc5eacf807e2b24830a21c3	104	102	1	9	HA_FITB	1	0	1
600b29e71e99fb7d9decf12b	5fc5eacf807e2b24830a2203	104	102	1	10	HA_MCMS	1	0	1
600b29e71e99fb7d9decf12b	5fc5eacf807e2b24830a2293	104	102	1	12	HA_MC	1	0	1
600b29e71e99fb7d9decf12b	5fc5eacf807e2b24830a22e7	104	102	1	13	HA_MCMS	1	0	1
600b29e71e99fb7d9decf12b	5fc5ead3807e2b24830a2e41	148	146	1	14	HA_MC	1	0	1
600b29e71e99fb7d9decf12b	5fc5ead3807e2b24830a2ebd	148	146	1	16	HA_FITB	1	0	1
600b29e71e99fb7d9decf12b	5fc5ead3807e2b24830a2f31	148	146	1	18	HA_MCMS	1	0	1
600b29e71e99fb7d9decf12b	5fc5ead3807e2b24830a2f81	148	146	1	19	HA_FITB	1	0	1
600b29e71e99fb7d9decf12b	5fc5ead4807e2b24830a3049	148	146	1	22	HA_Pulldown	1	0	1
600b29e71e99fb7d9decf12b	5fc5eac9807e2b24830a0d8e	13	11	3	9	HA_MC	1	0	1
600b29e71e99fb7d9decf12b	5fc5eac9807e2b24830a0de2	13	11	3	10	HA_MCMS	1	0	1
600b29e71e99fb7d9decf12b	5fc5eac9807e2b24830a0ea8	13	11	3	12	HA_Pulldown	1	0	1
600b29e71e99fb7d9decf12b	5fc5eafd807e2b24830ab1c7	59	57	2	3	HA_Pulldown	1	0	1
600b29e71e99fb7d9decf12b	5fc5eac3807e2b248309faf9	115	113	1	0	AG_FITB	1	0	1
600b29e71e99fb7d9decf12b	5fc5eac3807e2b248309fb1f	115	113	1	1	AG_Matching	1	0	1
600b29e71e99fb7d9decf12b	5fc5eac3807e2b248309fb47	115	113	1	3	AG_Matching	1	0	1
600b29e71e99fb7d9decf12b	5fc5eac3807e2b248309fbdb	115	113	1	8	AG_Matching	1	0	1
600b29e71e99fb7d9decf12b	5fc5eac3807e2b248309fbef	115	113	1	9	AG_Matching	1	0	1
600b29e71e99fb7d9decf12b	5fc5eac3807e2b248309fcc7	115	113	1	15	HA_Pulldown	1	0	1
600b29e71e99fb7d9decf12b	5fc5eac4807e2b248309fecb	115	113	1	24	HA_FITB	1	0	1
600b29e71e99fb7d9decf12b	5fc5eac4807e2b248309ff39	4	2	1	1	HA_MCMS	1	0	1
