parameter	mean	sd	hdi_3%	hdi_97%	mcse_mean	mcse_sd	ess_bulk	ess_tail	r_hat	question_type
b[0]	-2.444	0.321	-3.051	-1.895	0.006	0.005	3240.0	2269.0	1.0	AG_Matching
b[1]	-0.839	0.141	-1.107	-0.599	0.003	0.002	2688.0	2421.0	1.0	AG_FITB
b[2]	-0.795	0.131	-1.035	-0.552	0.002	0.002	3216.0	2607.0	1.0	AG_FITB
b[3]	-1.024	0.147	-1.298	-0.755	0.003	0.002	3476.0	2630.0	1.0	HA_Numeric
b[4]	-0.403	0.148	-0.662	-0.116	0.002	0.002	4221.0	2706.0	1.0	HA_FITB
b[5]	-0.324	0.08	-0.481	-0.181	0.001	0.001	3923.0	3139.0	1.0	HA_MCMS
b[6]	-0.656	0.156	-0.962	-0.388	0.003	0.002	3376.0	2400.0	1.0	HA_MC
b[7]	-0.101	0.104	-0.3	0.092	0.002	0.001	4633.0	2980.0	1.0	HA_MC
b[8]	-0.051	0.078	-0.195	0.093	0.001	0.001	3529.0	3437.0	1.0	HA_MCMS
b[9]	0.031	0.086	-0.13	0.195	0.001	0.001	4050.0	3323.0	1.0	HA_MCMS
b[10]	-1.212	0.218	-1.621	-0.824	0.005	0.003	2563.0	2123.0	1.0	HA_Pulldown
b[11]	-0.891	0.172	-1.22	-0.591	0.003	0.002	3508.0	2539.0	1.0	HA_MC
b[12]	-0.52	0.168	-0.828	-0.217	0.003	0.002	3573.0	2670.0	1.0	HA_Pulldown
a[0]	1.515	0.289	0.981	2.049	0.005	0.003	3286.0	2006.0	1.0	AG_Matching
a[1]	1.075	0.157	0.764	1.359	0.003	0.002	3014.0	2345.0	1.0	AG_FITB
a[2]	1.122	0.16	0.805	1.402	0.003	0.002	3575.0	2936.0	1.0	AG_FITB
a[3]	1.136	0.162	0.832	1.429	0.003	0.002	3997.0	3030.0	1.0	HA_Numeric
a[4]	0.742	0.121	0.527	0.975	0.002	0.001	4752.0	2614.0	1.0	HA_FITB
a[5]	1.662	0.215	1.27	2.078	0.003	0.002	5003.0	2745.0	1.0	HA_MCMS
a[6]	0.774	0.12	0.556	1.001	0.002	0.001	3360.0	2868.0	1.0	HA_MC
a[7]	1.024	0.141	0.761	1.287	0.002	0.001	4662.0	2664.0	1.0	HA_MC
a[8]	1.645	0.221	1.251	2.074	0.003	0.002	5341.0	2940.0	1.0	HA_MCMS
a[9]	1.334	0.173	1.015	1.648	0.003	0.002	4625.0	3135.0	1.0	HA_MCMS
a[10]	0.738	0.117	0.521	0.959	0.002	0.002	2822.0	2620.0	1.0	HA_Pulldown
a[11]	0.826	0.129	0.608	1.088	0.002	0.001	3693.0	2724.0	1.0	HA_MC
a[12]	0.676	0.114	0.466	0.895	0.002	0.001	3752.0	2307.0	1.0	HA_Pulldown
