student	question	course_page_number	unit_page_number	module_page_number	page_question_number	question_type	answered	correct
600b29e71e99fb7d9decf12b	5fc5ea9d807e2b248309833f	11	9	1	0	AG_FITB	1	1
600b29e71e99fb7d9decf12b	5fc5ea9d807e2b2483098350	11	9	1	1	AG_Matching	1	1
600b29e71e99fb7d9decf12b	5fc5ea9d807e2b24830983a2	11	9	1	2	AG_Matching	1	1
600b29e71e99fb7d9decf12b	5fc5ea9d807e2b2483098405	11	9	1	3	AG_FITB	1	1
600b29e71e99fb7d9decf12b	5fc5ea9d807e2b2483098416	11	9	1	4	AG_Matching	1	1
600b29e71e99fb7d9decf12b	5fc5ea9d807e2b2483098479	11	9	1	5	AG_FITB	1	0
600b29e71e99fb7d9decf12b	5fc5ea9d807e2b248309848a	11	9	1	6	AG_Matching	1	0
600b29e71e99fb7d9decf12b	5fc5ea9d807e2b24830984ed	11	9	1	7	AG_FITB	1	1
600b29e71e99fb7d9decf12b	5fc5ea9d807e2b2483098525	11	9	1	8	HA_Pulldown	1	1
600b29e71e99fb7d9decf12b	5fc5ea9d807e2b2483098579	11	9	1	9	HA_MC	1	1
600b29e71e99fb7d9decf12b	5fc5ea9e807e2b24830985cd	11	9	1	10	HA_MC	1	0
600b29e71e99fb7d9decf12b	5fc5ea9e807e2b248309862d	11	9	1	11	HA_MC	1	0
600b29e71e99fb7d9decf12b	5fc5ea9e807e2b2483098669	11	9	1	12	HA_FITB	1	1
600b29e71e99fb7d9decf12b	5fc5ea9e807e2b248309869e	11	9	1	13	HA_FITB	1	1
600b29e71e99fb7d9decf12b	5fc5ea9e807e2b24830986bc	11	9	1	14	HA_FITB	1	1
600b29e71e99fb7d9decf12b	5fc5ea9e807e2b24830986fa	11	9	1	15	HA_MC	1	0
600b29e71e99fb7d9decf12b	5fc5ea9e807e2b248309873a	11	9	1	16	HA_MC	1	1
600b29e71e99fb7d9decf12b	5fc5ea9e807e2b248309878e	11	9	1	17	HA_MCMS	1	1
600b29e71e99fb7d9decf12b	5fc5ea9e807e2b24830987ec	11	9	1	18	HA_MC	1	1
600f1ce215f61a6ba3ac1301	5fc5ea9d807e2b2483098350	11	9	1	1	AG_Matching	1	1
600f1ce215f61a6ba3ac1301	5fc5ea9d807e2b24830983a2	11	9	1	2	AG_Matching	1	1
600f1ce215f61a6ba3ac1301	5fc5ea9d807e2b2483098405	11	9	1	3	AG_FITB	1	1
600f1ce215f61a6ba3ac1301	5fc5ea9d807e2b2483098416	11	9	1	4	AG_Matching	1	1
600f1ce215f61a6ba3ac1301	5fc5ea9d807e2b2483098479	11	9	1	5	AG_FITB	1	0
